Period,Age_of_woman,Induced_abortions
2000,11,74
2000,14,74
2000,15,3107
2000,19,3107
2000,20,4548
2000,24,4548
2000,25,3399
2000,29,3399
2000,30,2496
2000,34,2496
2000,35,1823
2000,39,1823
2000,40,613
2000,44,613
2000,45,43
2001,11,66
2001,14,66
2001,15,3240
2001,19,3240
2001,20,4728
2001,24,4728
2001,25,3450
2001,29,3450
2001,30,2555
2001,34,2555
2001,35,1730
2001,39,1730
2001,40,593
2001,44,539
2001,45,48
2002,11,78
2002,14,78
2002,15,3602
2002,19,3602
2002,20,5124
2002,24,5124
2002,25,3450
2002,29,3450
2002,30,2676
2002,34,2676
2002,35,1715
2002,39,1715
2002,40,686
2002,44,686
2002,45,49
2003,11,89
2003,15,3757
2003,20,5670
2003,25,3619
2003,30,2800
2003,35,1846
2003,40,692
2003,45,38
2004,11,85
2004,15,3758
2004,20,5528
2004,25,3501
2004,30,2644
2004,35,1916
2004,40,721
2005,45,58
2005,11,92
2005,15,3718
2005,20,5203
2005,25,3491
2005,30,2520
2005,35,1773
2005,40,687
2005,45,47
2006,11,105
2006,15,3978
2006,20,5314
2006,25,3530
2006,30,2497
2006,35,1777
2006,40,691
2006,45,42
2007,11,104
2007,15,4173
2007,20,5445
2007,25,3574
2007,30,2547
2007,35,1814
2007,40,667
2007,45,58
2008,11,83
2008,15,4097
2008,20,5396
2008,25,3591
2008,30,2290
2008,35,1754
2008,40,675
2008,45,54
2009,11,79
2009,15,3873
2009,20,5332
2009,25,3539
2009,30,2311
2009,35,1692
2009,40,674
2009,45,50
2010,11,84
2010,15,3389
2010,20,5150
2010,25,3411
2010,30,2242
2010,35,1649
2010,40,655
2010,45,50
2011,11,68
2011,15,2822
2011,20,5160
2011,25,3340
2011,30,2220
2011,35,1593
2011,40,605
2011,45,55
2012,11,51
2012,15,2489
2012,20,4560
2012,25,3240
2012,30,2248
2012,35,1506
2012,40,590
2012,45,61
2013,11,48
2013,15,2096
2013,20,4386
2013,25,3174
2013,30,2237
2013,35,1451
2013,40,637
2013,45,44
2014,11,57
2014,15,1758
2014,20,4024
2014,25,3075
2014,30,2172
2014,35,1384
2014,40,611
2014,45,56
2015,11,32
2015,15,1635
2015,20,3777
2015,25,3256
2015,30,2309
2015,35,1483
2015,40,598
2015,45,65
2016,11,27
2016,15,1451
2016,20,3537
2016,25,3368
2016,30,2343
2016,35,1443
2016,40,602
2016,45,52
2017,11,30
2017,15,1414
2017,20,3599
2017,25,3632
2017,30,2419
2017,35,1562
2017,40,584
2017,45,45
2018,11,22
2018,15,1289
2018,20,3334
2018,25,3598
2018,30,2650
2018,35,1679
2018,40,660
2018,45,50
2019,11,23
2019,15,1215
2019,20,3167
2019,25,3374
2019,30,2667
2019,35,1707
2019,40,634
2019,45,70
